Track,Artist,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Shazam Counts,Explicit Track
I Don't Care (with Justin Bieber),Ed Sheeran,"1,816,356,140","156,748","74,047,669","209,758","24,824,442","246,666,552","2,108,390,436",,1
Substitution,Purple Disco Machine,"218,035,732","36,861","48,220,875","47,655","2,485,202","61,830,611","458,712,418","3,546,222",0
Automotivo Bibi Fogosa,Bibi Babydoll,"267,867,000","47,406","32,423,214","796,000","207,462,897","1,908,916,908",407,"3,212,495",1
MERCHO,LiL CaKe,"366,462,735","52,345","27,129,754","1,617,600","191,086,404","2,944,174,250","5,649,989","769,452",0
Bandook,Nirvair Pannu,"40,178,056","5,825","638,204","12,558,440","85,606,014","1,349,843,169","62,493","95,575",0
Silence,Marshmello,"1,592,440,653","188,349","52,573,571","1,101,293","107,580,637","807,230,686","243,663,431","8,572,710",0
Miï¿½ï¿½n,TINI,"723,722,454","79,670","35,967,048","916,770","122,604,577","1,607,695,575","166,684,466","1,358,270",0
Trap Queen,Fetty Wap,"1,182,373,720","201,337","36,698,633","319,849","50,946,038","414,475,658","370,912,165","9,253,461",1
Sign of the Times,Harry Styles,"1,532,653,504","191,817","85,380,382","241,402","80,177,249","500,970,525","1,650,960,443","18,327,076",0
METAMORPHOSIS,INTERWORLD,"624,007,138","88,566","48,503,856","386,544","202,072,663","2,052,187,356","129,187,266","2,577,920",1
Botella Tras Botella,Gera MX,"647,496,971","72,494","22,027,404","354,200","41,756,321","396,552,302","20,964,348","2,239,738",0
"Me, Myself & I",G-Eazy,"1,280,838,046","174,312","39,798,446","8,981,813","72,353,082","439,764,052","402,411,855","10,221,814",1
"Steal The Show - From ""Elemental""",Lauv,"117,717,973","20,157","12,372,416","1,101,758","32,704,079","409,104,776","45,005,060","1,696,007",0
Lut Gaye,Jubin Nautiyal,"171,856,399","16,697","3,873,550","2,736","167,529","2,560,589","232,645,756","826,805",0
Pasoori,Shae Gill,"346,971,014","37,940","6,753,521",627,"225,218","2,638,039","236,473,638","673,415",0
the boy is mine,Ariana Grande,"175,336,290","8,386","79,812,251",225,"397,044","3,842,071","297,433,202","209,987",1
Lay Low,Tiï¿½ï¿,"406,141,247","67,235","95,995,595","173,461","21,756,073","588,640,576","335,569,922","3,933,085",0
Hold My Hand,Lady Gaga,"315,680,664","50,632","13,985,305","129,481","23,093,203","424,398,738","5,867,793,586","5,802,558",0
Big Energy,Latto,"324,162,855","53,099","32,807,694","247,053","95,081,920","994,551,093","1,214,970","5,969,740",1
Goodbyes (feat. Young Thug),Post Malone,"1,263,989,128","156,671","25,905,453","35,383","8,434,416","78,005,488","508,823,655","5,216,769",1
Location,Khalid,"1,369,299,352","169,370","32,275,029","80,456","17,516,516","77,860,109","170,885,369","4,283,369",0
Italodisco,The Kolors,"142,141,861","22,711","10,786,942","946,028","19,085,610","403,681,891","258,305,365","3,570,846",1
Perfect Night,LE SSERAFIM,"279,667,395","23,583","16,220,736","316,771","152,082,704","1,178,951,518","1,201,238,468","435,036",0
Vida de Rico,Camilo,"568,823,269","54,968","26,455,856","1,913,634","77,602,054","835,046,287","149,145,491","1,819,660",0
Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,"432,988,420","32,294","28,454,994","633,280","45,475,847","750,998,497","9,725,361","1,407,776",0
In My Feelings,Drake,"1,389,607,643","179,820","36,937,605","294,022","46,457,728","521,014,819","204,014,215","7,188,287",1
You Broke My Heart,Drake,"123,522,254","26,849","21,166,663","2,214","572,150","3,432,405","1,827,340,338","814,161",1
Attention,Charlie Puth,"1,800,254,516","162,682","40,159,047","391,214","96,491,219","759,021,013","1,775,438,219",,0
Zhurek,Adam,"8,893,883","1,745","385,351","59,100","107,018","1,640,900","628,241,049","3,415,610",0
Let Me Down Slowly,Alec Benjamin,"1,709,991,997","187,053","79,925,766","2,026,064","188,810,282","2,833,687,729","1,915,732,260",,0
In The End,Tommee Profitt,"85,068,645","23,747","2,345,029","7,610,004","421,716,078","6,274,917,849","104,330,417","8,985,174",0
Took Her To The O,King Von,"497,832,707","156,669","13,464,335","171,287","89,782,204","644,816,718","7,516,419","1,146,823",1
Boyfriend,Dove Cameron,"637,836,235","96,878","50,739,981","488,047","311,431,134","1,955,825,500","3,121,389,798","2,178,227",1
Sucker,Jonas Brothers,"1,411,856,834","128,280","42,394,972","328,479","33,317,769","280,853,608","487,784,808","6,948,452",0
Alone,Marshmello,"561,103,984","80,971","18,764,148","524,156","50,668,664","462,245,126","454,361,203","3,223,632",0
Pareja Del Aï¿½,Sebastian Yatra,"817,933,263","104,636","31,495,621","877,700","82,923,244","870,762,842","136,526,601","2,894,166",0
PAINTING PICTURES,Superstar Pride,"193,109,326","76,047","4,765,141","238,183","174,951,046","1,526,856,459","210,031,126","2,304,354",1
GOOBA,6ix9ine,"472,027,271","97,766","8,876,147","2,295,814","448,572,991","4,846,286,370","155,050,116","2,224,515",1
THE DINER,Billie Eilish,"66,101,468","3,693","9,878,576",180,"1,800,000","11,200,000","934,654","52,008",0
Light Switch,Charlie Puth,"593,554,969","84,288","17,284,885","506,518","475,880,505","4,729,678,365","3,277,338,062","2,231,820",0
On Me,Lil Baby,"368,017,246","105,732","15,129,396","163,221","22,024,839","198,936,453","37,367,982","1,728,476",1
when the party's over,Billie Eilish,"1,845,938,685","186,633","79,124,996","1,622,629","210,787,744","1,349,258,289","750,592,461","5,811,377",0
Love The Way You Lie,Eminem,"1,532,052,160","236,943","76,167,038","208,118","23,435,916","223,136,013","254,272,987","10,011,625",1
Party,Bad Bunny,"725,076,772","83,311","29,009,374","705,800","287,983,296","3,014,389,754","22,621,115","1,467,014",0
Freaks,Surf Curse,"1,089,328,286","200,016","33,498,182",511,"265,535","2,110,692","4,098,036","4,341,439",0
In Da Getto,J Balvin,"484,375,103","133,279","27,602,101","1,920,220","452,069,335","6,219,918,723","90,132,395","7,336,982",0
Chale,Eden Muï¿½ï,"414,104,069","33,044","18,247,093","968,864","248,485,504","2,953,043,191","28,563,266",,0
Tarot,Bad Bunny,"742,515,730","93,128","28,604,664","940,020","241,093,278","2,486,183,983","22,246,842","959,597",1
Mas Existe um Lugar,Kaio Viana,"24,963,236","5,624","1,097,527","3,177,849","39,336,848","670,846,125","6,083,511","228,158",1
Petit gï¿½ï¿,Jungeli,"159,181,956","29,011","10,943,796","12,100","2,709,265","37,717,213","201,180,033","3,454,084",1
ııı,Ado,"114,381,380","15,725","4,390,255","286,300","41,518,862","613,717,046","548,853,137","270,400",0
Work,Rihanna,"1,399,521,364","144,823","46,076,265","3,515","6,820,574","36,448,419","244,639,723","8,814,930",1
Normal,Feid,"724,772,954","76,821","31,039,211","86,775","25,803,660","237,386,912","472,550,280","956,990",1
LALALALA,Stray Kids,"154,592,041","10,814","10,289,612","184,200","94,512,843","430,312,931","770,557,253","279,165",0
Sum 2 Prove,Lil Baby,"444,934,033","141,088","17,349,295","191,154","26,909,802","238,372,502","7,285,479","1,925,871",1
Lottery (Renegade),K CAMP,"173,526,912","28,272","6,607,554","13,802,112","663,362,447","6,653,535,769","40,852","1,592,457",1
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,"1,382,191,196","119,969","51,471,665","624,291","24,379,364","260,253,261","1,408,688,467",,0
Good Days,SZA,"1,105,805,922","164,541","62,561,721","534,634","157,378,144","920,329,965","42,909,616","2,548,829",1
Leave Before You Love Me (with Jonas Brothers),Marshmello,"844,630,935","94,185","54,080,564","71,293","17,326,017","182,430,905","993,825,483","7,138,195",0
Youngblood,5 Seconds of Summer,"1,790,579,305","180,069","75,602,805","226,361","15,100,678","81,167,209","225,749,952","10,854,729",0
Sweater Weather,The Neighbourhood,"2,916,412,507","415,650","149,359,220","1,248,637","324,536,571","2,911,383,718","71,486,828",,0
Merayu Tuhan,Tri Suaka,"8,517,888",506,"74,157","2,200,000","17,612,619","540,360,680","45,212,529","20,886",0
Can We Kiss Forever?,Kina,"634,493,511","89,559","32,092,279","11,714,753","557,393,131","6,459,413,096","12,749,911","8,659,169",0
Felices los 4,Maluma,"932,817,713","73,487","24,333,265","206,344","18,309,676","177,718,441","341,943,201","5,644,479",0
Relaciï¿½,Sech,"468,900,803","62,750","12,074,538","2,205,109","110,809,435","1,052,766,873","125,135,301","1,507,000",0
ELOVRGA,Alex Favela,"333,899,135","24,862","20,963,358","152,867","82,946,328","704,890,346","246,991,766","967,858",1
Party Girl,StaySolidRocky,"730,440,576","115,574","16,306,099","6,782,670","391,923,611","3,194,124,847","23,072,079","1,963,555",0
Agua (with J Balvin),Tainy,"391,856,304","68,311","11,888,692","2,490,398","109,826,716","1,423,789,944","329,599,890","1,570,803",0
Human,Rag'n'Bone Man,"1,013,083,048","170,367","49,113,191","265,475","90,999,656","1,070,508,080","186,882,524","19,092,054",0
La_Original.mp3,Emilia,"184,441,175","17,845","26,300,966","193,100","40,676,589","529,217,516","483,390,087","400,818",0
Ice Cream (with Selena Gomez),BLACKPINK,"574,505,748","47,463","17,801,611","2,161,485","204,760,050","1,928,057,718","2,185,956,346","1,430,212",0
MIDDLE CHILD,J. Cole,"1,285,518,117","221,749","47,461,150","24,013","9,483,657","72,297,780","42,301,836","3,638,588",1
TO THE MOON,JNR CHOI,"274,647,899","96,137","14,188,085","1,905,324","583,572,613","7,062,611,890","2,031,792,442","3,786,029",1
Fancy Like,Walker Hayes,"328,697,441","56,746","6,878,594","796,309","174,360,135","2,074,178,281","774,476,433","2,520,013",0
The Color Violet,Tory Lanez,"806,918,358","152,298","19,863,721","40,106","22,514,603","251,896,836","3,583,107","2,322,363",0
S91,KAROL G,"240,161,044","22,270","15,087,485","503,900","16,972,968","257,922,639","438,911,868","614,971",0
LALISA,LISA,"502,655,066","33,286","15,876,032","909,216","188,844,723","1,612,602,199","255,397,268","1,084,041",0
Levitating,Dua Lipa,"946,842,175","145,601","34,376,048","1,493,355","552,112,407","4,779,580,212","52,496,892","3,946,971",0
RUBICON,Peso Pluma,"246,224,964","23,436","13,507,680","559,400","20,923,219","278,318,607","37,990,067","585,523",1
Gimme Love,Sia,"105,947,434","11,648","11,690,122",688,"463,074","12,855,128","1,157,866,791","1,684,376",0
Demons,Imagine Dragons,"2,270,796,677","263,640","71,470,111","261,866","25,465,591","296,361,891","273,191,644","18,161,724",0
Supalonely,BENEE,"738,407,486","111,662","26,764,629","4,814,901","442,756,956","3,587,729,796","287,718,975","6,834,164",1
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Major Lazer,"2,080,878,370","242,511","79,506,771","270,919","33,270,068","289,518,843","216,000","26,993,119",1
Spin Bout U,Drake,"356,685,934","88,034","16,963,292","76,706","32,337,952","229,937,284","258,434","1,574,072",1
From The Start,Laufey,"368,256,958","53,922","25,450,036","224,617","128,900,059","772,554,264","9,780","1,011,059",0
ZOOM,Jessi,"166,161,044","22,288","7,774,873","3,903,605","865,870,535","9,393,168,416","146,065,235","778,299",0
Can't Feel My Face,The Weeknd,"1,747,534,539","212,829","101,243,254","552,005","26,588,465","264,572,676","238,111,307","14,056,461",0
Sexy And I Know It,LMFAO,"436,722,440","107,912","33,797,077","652,850","62,596,716","927,660,445","222,701,064","6,761,782",0
WHATS POPPIN,Jack Harlow,"819,779,577","161,131","28,874,159","748,490","210,602,527","2,078,817,404","52,474,731","3,222,518",1
POR EL CONTRARIO,Becky G,"131,938,548","5,913","9,167,049","836,833","46,373,944","589,093,596","353,950,794","684,079",0
Rara Vez,Taiu,"544,165,928","58,646","20,499,657","302,386","150,768,049","1,522,432,243","18,292,788","943,365",0
That That (prod. & feat. SUGA of BTS),PSY,"269,491,606","26,075","16,176,936","304,900","324,925,866","2,432,918,911","300,796,672","797,357",0
THE LONELIEST,Mï¿½ï¿½ne,"330,593,989","54,823","16,021,571","296,115","22,320,319","270,169,817","224,863,549","4,266,103",0
Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,"478,494,818","53,736","20,478,756","43,294","16,884,958","145,723,405","43,699,996","3,116,053",0
Copines,Aya Nakamura,"381,322,519","70,125","7,759,068","9,295,551","769,130,337","8,503,116,899","11,289,899","5,305,717",0
Thank God,Kane Brown,"157,341,967","20,612","11,359,519","213,898","11,321,551","123,462,516","366,164,170","1,100,920",0
TQM,Fuerza Regida,"497,682,165","40,368","24,948,673","236,300","73,808,507","824,220,151","65,010","616,368",1
Lily,Alan Walker,"403,860,053","45,516","8,731,552","7,210,674","89,296,676","1,297,576,376","3,130,304","1,793,716",0
Massive,Drake,"253,114,498","111,173","20,965,015","188,128","77,604,432","887,138,394","49,818,215","2,091,080",0
a lot,21 Savage,"949,835,159","219,301","32,815,164","55,114","16,502,363","131,214,658","180,070,256","3,759,769",1
Adicto (with Anuel AA & Ozuna),Tainy,"711,861,577","84,611","28,656,289","611,826","17,295,595","185,706,534","136,934,639","1,522,049",0
Look What You Made Me Do,Taylor Swift,"1,152,346,128","93,178","62,880,711","178,524","67,907,529","563,244,716","1,749,919,925","5,102,278",0
Young Dumb & Broke,Khalid,"1,527,159,800","187,813","83,108,168","194,595","27,581,217","216,666,194","189,783,592","6,513,209",0
In A Minute,Lil Baby,"171,118,535","81,407","13,177,118","75,540","21,092,926","191,118,526","360,805,538","1,695,618",1
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"1,549,317,525","178,149","71,174,158","89,958","59,135,602","426,511,103","271,720,676","3,251,107",0
No Se Vale,Camilo,"19,388,370","1,341","7,152,408","871,174","22,013,623","441,343,495","110,742,872","42,410",0
Jerusalema (feat. Nomcebo Zikode),Master KG,"406,132,477","110,858","13,496,585","790,561","54,406,926","849,243,924","33,866,411","15,915,419",0
Funk do Patinho,Bento e Totï¿,"16,197,748","1,827","221,916","31,500","2,460,399","40,465,134",16,"16,249",0
El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,"130,709,283","12,585","10,844,674",682,"462,948","3,169,042","353,234,264","555,880",0
Blueberry Faygo,Lil Mosey,"1,295,251,940","197,036","39,104,125","1,099,556","147,484,414","1,065,757,953","142,871,159","2,786,545",1
Jiggle Jiggle,Duke & Jones,"121,214,716","37,436","6,111,674","4,762,920","1,378,075,519","14,693,507,776","1,804,738","1,772,963",0
En la Intimidad,Big One,"210,712,407","24,033","7,343,818","575,300","54,956,649","793,158,034","18,815,238","261,474",0
Counting Stars,OneRepublic,"2,466,006,842","343,135","114,346,295","382,991","125,290,160","1,245,061,983","149,045,425","118,910",0
Essence (feat. Tems),Wizkid,"242,254,880","85,783","13,563,028","280,027","66,345,848","617,402,549","82,045,151","4,536,227",0
Get Into It (Yuh),Doja Cat,"603,196,133","97,704","24,305,145","1,300,477","823,930,204","7,709,942,104","125,603,487","2,436,551",1
RAVE,Dxrk ï¿½ï¿½ï¿½,"415,552,038","104,372","42,500,205","814,700","474,655,469","5,435,575,162","31,543,598","2,994,271",0
No Me Conoce,Jhay Cortez,"49,585,127","9,710","1,428,548","12,412","1,911,710","20,432,637","315,246,980","466,976",0
TOPIA TWINS,Travis Scott,"196,369,387","70,723","12,274,321","47,600","23,423,522","141,407,787","3,855,807","310,132",1
Janze,Xamdam Sobirov,"344,691",77,"5,871","154,161","4,397,504","144,597,808","62,334,320","407,695",0
"O Saki Saki (From ""Batla House"")",Neha Kakkar,"144,985,656","15,143","5,892,217","3,112,998","41,878,672","462,897,728","255,648,659","717,736",0
Always Remember Us This Way,Lady Gaga,"1,269,760,706","137,601","32,384,233","1,213,771","33,512,447","573,562,180","1,951,219,741","9,755,956",0
Thought You Should Know,Morgan Wallen,"340,227,841","40,523","6,267,614","16,626","4,371,872","28,018,314","196,339,404","857,184",1
CAIRO,KAROL G,"443,093,379","35,995","21,160,001","625,126","42,735,677","600,184,949","11,558,006","1,174,788",1
Cupido,TINI,"358,240,136","35,751","23,674,275","827,378","189,261,300","2,253,379,250","20,052,884","556,867",0
Out thï¿½ï¿½,Yeat,"338,097,605","85,480","16,509,403","47,215","15,066,093","117,839,587","18,856,089","664,273",1
Sobrio,Maluma,"600,199,930","66,655","24,281,295","189,200","19,480,120","254,681,143","484,483,790","1,823,474",0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,"247,682,011","67,166","13,150,883","13,500","6,210,382","38,882,669","703,035","1,390,039",0
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,"1,244,981,489","295,646","48,300,175","106,923","60,624,218","650,317,525","165,012,134","6,227,926",1
Se Acabï¿½ï¿½ la Cuaren,Jowell & Randy,"73,468,394","23,284","4,240,574","10,152,900","212,959,708","2,985,601,079",996,"1,057,655",1
Look Back At It,A Boogie Wit da Hoodie,"769,061,748","136,145","21,910,460","202,814","33,604,598","250,645,860","39,277,808","6,255,853",1
End of Beginning,Djo,"710,784,872","64,517","191,969,474","129,300","118,218,973","1,027,806,256","58,700,775","3,343,993",0
K-POP,Travis Scott,"285,481,590","62,715","24,530,922","4,427","3,170,160","129,035,232","331,318,025","808,863",1
You & Me,JENNIE,"183,134,509","12,210","12,194,109","319,200","56,468,580","518,880,479","1,663,397,140","345,892",0
Tattoo,Rauw Alejandro,"341,742,937","53,836","9,757,013","2,132,748","73,202,309","650,666,266","171,345,507","713,534",0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,"829,352,129","159,324","36,048,887","2,250,587","417,038,157","5,938,511,405","269,751,922",,0
no tears left to cry,Ariana Grande,"1,331,371,819","100,503","36,840,744","698,131","30,791,124","219,920,452","1,865,455,236","6,415,036",0
Upside Down,JVKE,"121,391,098","28,044","6,194,695","10,318,700","164,374,946","1,710,758,827",517,"1,184,072",0
Nosso Quadro,AgroPlay,"423,018,422","23,872","16,779,061","288,613","21,077,364","277,692,228","841,498,728","609,133",0
Genda Phool (feat. Payal Dev),Badshah,"86,295,058","7,591","3,058,131","5,444,473","128,000,154","1,953,198,700","197,996,975","193,040",0
Pure Cocaine,Lil Baby,"652,559,944","170,734","17,463,888","13,434","7,576,223","62,837,382","7,241,389","1,456,448",1
Pretty Little Poison,Warren Zeiders,"142,512,477","23,828","9,380,794","100,195","10,946,988","109,014,578","727,842,762","549,127",0
Corazï¿½ï¿½n Roto - R,Brray,"203,212,015","36,459","13,719,365","827,700","24,190,123","359,964,365","362,205,003","836,117",1
Summer,Calvin Harris,"1,497,564,072","255,037","105,180,321","1,293,032","116,032,171","1,214,191,679","322,680,506","11,380,320",0
Murder On My Mind,YNW Melly,"1,055,558,326","208,777","21,077,896","251,510","44,341,738","350,694,950","39,105,354","2,087,864",1
You Are The Reason,Calum Scott,"1,042,531,612","119,883","31,204,776","1,513,635","180,692,022","1,930,209,423","1,629,614,639","6,610,744",0
Bad Liar,Imagine Dragons,"1,056,929,910","134,812","31,112,950","1,429,594","181,729,752","2,058,078,137","1,802,807,851","11,123,506",0
Wild Ones (feat. Jelly Roll),Jessie Murph,"165,347,464","21,942","13,799,115","15,847","603,997","7,395,640","446,100,137","354,116",1
ROXANNE,Arizona Zervas,"1,474,968,552","170,595","31,145,335","1,513,097","565,840,941","4,972,391,653","251,187,916","4,556,715",1
Softly,Karan Aujla,"150,073,848","12,340","8,409,772","70,200","8,387,797","169,068,391","185,360,520","270,472",0
Tacones Rojos,Sebastian Yatra,"641,756,842","80,542","23,090,494","328,394","77,295,943","855,230,861","387,792,262","2,934,783",0
family ties,Baby Keem,"786,298,066","204,148","57,623,622","55,168","80,647,899","532,021,210","764,790","1,938,598",1
Whatever It Takes,Imagine Dragons,"1,257,258,072","156,442","33,271,283","202,700","27,054,065","340,416,328","158,079,968","12,160,416",0
POP!,NAYEON,"296,828,933","25,748","12,535,016","1,937,239","548,973,446","5,178,604,164","240,970,840","445,036",0
Lonely At The Top,Asake,"84,655,991","13,107","7,678,884","1,513,241","16,795,588","382,487,197","72,422,815","2,361,169",0
ecstacy (slowed),SUICIDAL-IDOL,"242,661,037","43,999","9,893,510","499,500","69,556,599","646,143,014","460,974","2,552,266",1
Si Se Da,Myke Towers,"317,223,968","47,247","7,578,697","15,153","1,209,967","14,034,398","133,593,097","1,796,737",1
Holy (feat. Chance The Rapper),Justin Bieber,"787,546,548","110,389","44,478,175","193,594","69,149,295","561,056,269","1,394,478,465","3,589,419",0
No Role Modelz,J. Cole,"2,235,160,830","403,355","73,668,045","744,556","138,864,977","885,273,359","184,893,947","5,513,979",1
Symphony (feat. Zara Larsson),Clean Bandit,"1,456,894,713","141,677","49,274,720","707,674","33,256,295","386,013,926","1,419,194,972","9,434,537",0
Rain On Me (with Ariana Grande),Lady Gaga,"1,060,378,159","104,647","55,948,663","442,243","80,912,710","538,854,965","382,160,207","3,888,061",0
10:35,Tiï¿½ï¿,"539,802,784","82,093","99,413,749","11,473","5,762,615","119,710,596","487,764,676","2,064,142",0
One Right Now (with The Weeknd),Post Malone,"631,789,333","99,512","27,179,361","30,141","12,902,227","181,078,488","954,672,882","2,041,348",1
A Thousand Years,Christina Perri,"1,654,956,613","177,834","80,060,384","4,479,720","848,530,861","8,594,414,469","1,579,447,076","15,974,659",0
Secreto,Anuel AA,"759,388,276","68,502","18,835,572","609,042","40,357,374","543,804,719","306,014,364","1,317,266",0
Toda Remix - Remix,Alex Rose,"482,021,697","68,578","13,363,939","696,400","34,322,459","289,741,256","30,691,906","2,148,531",1
I Hate U,SZA,"456,871,037","71,261","34,724,014","877,769","211,488,170","1,676,387,442","85,726,782","1,854,776",1
Call Me Maybe,Carly Rae Jepsen,"1,394,048,309","211,162","114,187,117","418,014","40,431,475","367,016,981","1,811,023,591","14,252,942",0
Pobre Corazï¿½,Ke Personajes,"187,127,704","18,938","5,235,073","8,176","2,607,049","30,085,568","188,119,455","432,240",0
Piece Of Your Heart,MEDUZA,"995,452,298","188,608","44,047,615","742,947","75,493,341","1,282,810,923","34,091,844","14,464,887",0
Mi Kryptonita,Doble ONE Flow Letal,"140,356,426","9,363","5,604,254","849,600","119,963,984","1,057,039,331","261,296,658","961,258",0
Ram Pam Pam,NATTI NATASHA,"257,167,813","38,896","13,810,240","1,887,815","202,617,114","2,167,134,347","350,033,186","1,621,368",1
Stuck In The Middle,BABYMONSTER,"21,167,612","1,285","2,035,557","16,500","8,382,900","70,103,300","80,502,081","47,782",0
No Se Va,Grupo Frontera,"582,023,797","48,881","17,367,502","1,100,596","64,787,440","805,988,782","40,039","1,946,266",0
Aesthetic,Xilo,"27,312,761","9,048","2,060,708","12,562,825","754,488,882","5,979,843,010","86,473,112","26,178",1
get him back!,Olivia Rodrigo,"287,724,574","25,460","15,517,447","485,830","47,532,963","469,327,093","1,298,782,751","770,996",1
Your Love (9PM),ATB,"721,002,104","146,298","62,920,572","25,400","5,772,644","81,735,548","153,714,110","7,799,522",0
One Side,Iyanya,"23,823,099","10,859","859,682","4,024,066","59,428,340","1,004,679,876","42,569,293",,0
Photograph,Ed Sheeran,"2,525,355,904","208,671","121,163,411","1,459,274","502,385,405","4,406,781,129","1,706,776,803","17,163,765",0
Great Gatsby,Rod Wave,"66,813,186","11,024","4,487,030","4,842","4,543,062","34,091,093","359,281,223","395,093",1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,"667,508,675","78,737","29,292,148","7,162,351","628,778,954","8,778,203,835","433,920,815","8,994,016",0
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,"1,020,452,066","108,274","75,934,462","228,100","129,184,868","1,013,000,586","995,903",,0
Wants and Needs (feat. Lil Baby),Drake,"793,287,638","225,513","37,094,631","36,542","45,722,496","319,496,635","783,169","2,221,501",1
Jiwa Yang Bersedih,Ghea Indrawari,"229,120,157","11,931","7,972,917","1,589,944","378,055,132","5,604,886,674","45,212,529","154,129",0
Coco Chanel,Eladio Carrion,"459,282,058","67,717","32,043,186","49,000","17,997,404","147,682,062","1,805,292","742,228",1
At My Worst,Pink Sweat$,"670,245,273","83,819","24,550,707","3,893,052","155,783,189","1,736,930,175","10,765,679","2,977,114",0
TOO MUCH,The Kid LAROI,"137,894,955","20,037","20,683,852","4,402","2,179,277","13,108,162","1,665,204,683","601,987",1
Go Down Deh (feat. Shaggy and Sean Paul),Spice,"218,431,985","56,998","7,122,424","3,595,260","338,445,934","4,731,467,896","11,491,467","6,024,636",0
Tomorrow 2 (with Cardi B),GloRilla,"157,806,193","27,840","14,490,602","264,839","77,376,260","507,673,872","175,345,907","1,089,768",1
Se Preparï¿,Ozuna,"846,909,112","81,897","37,257,314","357,129","31,889,859","259,122,341","265,630,619","2,526,044",0
Lost on You,LP,"837,042,727","127,522","22,902,207","87,300","31,874,280","239,446,479","220,914,117","16,431,621",0
Leï¿½,Marï¿½ï¿½lia Mendo,"415,752,953","20,588","32,327,663","318,300","58,453,253","754,580,262","1,139,343,976","280,389",0
Lean Wit Me,Juice WRLD,"880,781,313","137,341","29,154,307","28,508","3,880,481","33,981,823","5,946,423","934,193",1
HOTEL LOBBY (Unc & Phew),Quavo,"399,707,517","131,547","25,873,871","1,332","101,238","1,130,861","2,803,361","2,145,146",1
Panini,Lil Nas X,"741,766,886","96,241","16,599,790","334,492","59,073,681","493,209,730","229,239,236","2,409,985",0
She Had Me At Heads Carolina,Cole Swindell,"244,709,550","33,533","14,159,174","53,799","11,305,059","140,118,719","466,327,206","911,477",0
bad idea right?,Olivia Rodrigo,"433,515,672","37,313","23,894,665","236,657","92,857,729","839,351,640","1,213,115,245","706,445",1
"Ay, DiOs Mï¿½ï",KAROL G,"599,215,039","57,051","16,707,832","2,265,527","71,390,703","779,241,131","38,462,285","1,362,793",0
happier,Olivia Rodrigo,"1,133,535,049","116,055","29,173,011","722,581","472,933,333","3,266,081,830","326,868,389","1,970,544",1
Lalala,Y2K,"968,133,091","142,494","16,656,325","2,733,359","556,612,849","6,342,877,983","368,355,428","9,155,025",1
ONE MORE TIME,blink-182,"62,097,485","16,027","7,986,146","5,436","2,500,510","39,957,104","40,665,968","1,145,608",0
ııııııııııııııııııııı,HoneyWorks,"23,191,929","5,912","438,018","3,400,886","499,324,989","6,284,732,144","80,772,548","188,814",0
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,"150,177,750","30,142","13,282,269","2,700,000","1,300,234,701","15,253,039,012","6,064,515","1,072,415",1
Monkeys Spinning Monkeys,Kevin MacLeod,"11,477,477","7,679","1,490,705","31,963,934","23,474,223,833","233,232,311,463","1,418,397","1,177,639",0
One Kiss (with Dua Lipa),Calvin Harris,"2,178,606,166","291,456","162,511,602","1,932,873","174,361,744","1,597,020,461","706,333,060","15,829,169",0
Mmhmm,BigXthaPlug,"155,648,648","28,131","46,683,719","44,222","881,868","7,609,548","105,397,484","479,173",1
BOP,DaBaby,"820,923,123","158,363","34,079,735","74,988","16,461,096","129,969,428","156,344,017","2,417,871",1
Titanium (feat. Sia),Sia,"1,634,403,761","244,291","103,798,139","223,184","49,312,980","510,515,661","1,440,344,388","15,214,627",0
No_se_ve.mp3,Emilia,"218,340,846","30,667","18,842,918","225,600","67,337,219","876,147,905","290,956,426","744,536",1
Arcade,Duncan Laurence,"1,184,536,529","199,838","52,970,224","1,458,534","698,504,294","6,956,515,458","852,884","11,835,805",0
How Deep Is Your Love,Calvin Harris,"1,156,342,373","168,603","66,723,908","527,189","148,496,036","982,629,718","234,830,168","14,394,209",0
BUTTERFLY EFFECT,Travis Scott,"1,388,024,799","219,410","37,089,107","103,265","22,575,146","236,970,860","39,422,962","3,356,112",0
Let You Down,NF,"1,472,430,869","187,536","40,032,849","754,672","35,519,027","270,757,450","128,349,191","8,887,316",0
Yo Perreo Sola,Bad Bunny,"745,086,450","95,154","29,388,631","1,515,908","126,702,212","1,133,216,780","291,194,930","1,822,325",0
ETA,NewJeans,"234,215,735","20,419","7,910,753","98,128","38,199,952","297,802,502","537,474,239","248,138",0
