Track,Artist,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Shazam Counts,Explicit Track
TQG,KAROL G,"1,024,381,758","78,554","69,319,589","457,111","15,048,444","248,168,852","1,174,053,183","3,488,226",1
Perfect,Ed Sheeran,"2,969,999,682","280,165","116,921,604","6,642,975","601,244,764","7,647,479,866","1,708,317,539",,0
Pepas,Farruko,"1,500,499,584","359,502","125,112,486","2,866,181","290,811,371","4,067,248,819","782,475,986","17,210,946",1
Ella Baila Sola,Eslabon Armado,"1,215,336,974","129,463","39,814,172","5,416","550,073","15,373,104","546,259,059","3,435,177",0
Dance The Night - From Barbie The Album,Dua Lipa,"860,026,452","74,769","139,913,794","175,536","90,924,917","1,227,837,850","1,205,266,954","3,199,636",0
La Bebe - Remix,Yng Lvcas,"1,032,225,805","94,887","74,469,479","1,031,612","116,003,972","2,416,141,351","1,690,231,413","2,635,577",1
redrum,21 Savage,"428,233,003","57,311","144,298,748","87,200","6,732,800","43,993,800","977,638,660","2,490,071",1
Easy On Me,Adele,"1,720,918,065","209,635","93,875,458","1,912,194","733,101,955","7,860,224,413","6,353,555,150","7,569,155",0
Titï¿½ï¿½ Me Pregu,Bad Bunny,"1,514,239,759","190,692","77,283,361","1,769,068","475,656,543","5,249,863,696","488,048,337","5,133,847",1
All My Life (feat. J. Cole),Lil Durk,"333,202,114","108,322","41,018,697","928,132","63,253,779","748,253,884","735,908,540","4,207,535",1
Anti-Hero,Taylor Swift,"1,563,224,246","117,005","97,456,780","1,302,967","376,660,493","3,864,505,972","724,976,542","4,703,179",0
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"1,692,951,462","209,490","88,591,675","1,212,100","196,608,777","2,054,826,154","56,677,146","6,836,893",0
Lollipop,Darell,"275,349,653","37,806","22,826,643","4,349,700","321,239,621","4,767,676,439","2,676,837,761","1,245,874",1
Boy's a Liar Pt. 2,PinkPantheress,"851,085,705","129,047","50,996,176","3,502,547","955,272,568","8,781,020,473","806,434,641","2,580,691",1
Snooze,SZA,"1,013,350,808","108,036","86,470,319","402,338","97,819,766","887,803,828","560,893,301","3,129,609",1
BELLAKEO,Peso Pluma,"359,803,580","26,065","79,152,427","720,800","74,164,945","874,056,250","4,123,457,278","1,002,835",1
Agora Hills,Doja Cat,"509,653,100","66,219","67,521,533","328,562","88,846,508","544,437,406","1,561,456,615","4,295,361",1
Prada,cassï¿,"609,699,748","128,498","160,755,092","283,600","96,934,486","1,090,501,901","113,545,664",,1
Lil Boo Thang,Paul Russell,"242,070,373","37,170","74,130,983","2,553,106","312,997,953","3,832,221,658","15,593,731","2,219,984",0
MONACO,Bad Bunny,"478,150,858","73,306","51,842,133","1,700,998","182,319,546","2,111,289,492","90,954,700","2,255,465",1
(It Goes Like) Nanana - Edit,Peggy Gou,"460,156,070","163,449","127,827,271","530,103","65,920,648","1,032,799,567","56,004,473","9,279,625",0
Training Season,Dua Lipa,"251,153,869","16,811","92,985,554","102,884","34,572,688","431,390,500","2,120,552,147","2,047,771",0
The Box,Roddy Ricch,"1,911,559,785","317,345","87,765,033","4,930,490","561,201,008","4,574,447,121","2,077,511","11,988,760",1
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"2,014,959,725","354,831","87,942,438","1,750,366","915,814,897","9,558,947,943","3,191,316,960","12,693,846",1
Fast Car,Luke Combs,"518,988,585","73,116","58,391,498","354,036","74,258,021","924,204,888","103,658,014","3,108,167",0
